date,prescriptions_25,pills_25,total_prescribed_dose_25,total_dose_per_prescription_25,average_daily_dose_25,prescriptions_50,pills_50,total_prescribed_dose_50,total_dose_per_prescription_50,average_daily_dose_50,prescriptions_75,pills_75,total_prescribed_dose_75,total_dose_per_prescription_75,average_daily_dose_75,prescriptions_100,pills_100,total_prescribed_dose_100,total_dose_per_prescription_100,average_daily_dose_100,prescriptions_150,pills_150,total_prescribed_dose_150,total_dose_per_prescription_150,average_daily_dose_150,prescriptions_200,pills_200,total_prescribed_dose_200,total_dose_per_prescription_200,average_daily_dose_200,prescriptions_225,pills_225,total_prescribed_dose_225,total_dose_per_prescription_225,average_daily_dose_225,prescriptions_300,pills_300,total_prescribed_dose_300,total_dose_per_prescription_300,average_daily_dose_300,prescriptions_total,pills_total,dose_total,dose_per_prescription_total,average_daily_dose_total
2017-05-01,48720,2493895,62347375,1279.70802545156,42.65693418171866,65850,3545640,177282000,2692.209567198178,89.74031890660594,101048,5220713,391553475,3874.9255304409785,129.16418434803262,55928,2975812,297581200,5320.791017021886,177.35970056739617,101315,4916311,737446650,7278.750925331886,242.6250308443962,32620,1559402,311880400,9561.01778050276,318.7005926834253,13909,598882,134748450,9687.860378172407,322.92867927241355,100008,4082276,1224682800,12245.84833213343,408.19494440444765,519398,25392931,3337522350,6425.751254336751,214.1917084778917
2017-06-01,49873,2553023,63825575,1279.7620957231368,42.65873652410456,67101,3626324,181316200,2702.1385672344672,90.07128557448225,102025,5282495,396187125,3883.235726537613,129.44119088458712,57137,3032803,303280300,5307.949314804768,176.9316438268256,102106,4933156,739973400,7247.10986621746,241.57032887391534,33216,1588757,317751400,9566.21507707129,318.87383590237636,14289,617902,139027950,9729.718664707118,324.32395549023727,101623,4178281,1253484300,12334.651604459621,411.15505348198735,527370,25812741,3394846250,6437.313935187819,214.5771311729273
2017-07-01,49575,2528825,63220625,1275.2521432173476,42.508404773911586,66530,3571852,178592600,2684.392003607395,89.47973345357984,100789,5228920,392169000,3890.9900882040697,129.69966960680233,56922,3014311,301431100,5295.511401567057,176.5170467189019,99189,4770892,715633800,7214.850437044431,240.4950145681477,32959,1574570,314914000,9554.719499984829,318.4906499994943,14094,606844,136539900,9687.803320561941,322.92677735206473,100032,4083443,1225032900,12246.410148752399,408.21367162507994,520090,25379657,3327533925,6397.9963563998535,213.26654521332844
2017-08-01,50908,2594003,64850075,1273.8680561012022,42.46226853670674,68606,3667449,183372450,2672.8340086872868,89.0944669562429,103390,5372647,402948525,3897.3645903859174,129.9121530128639,58310,3071843,307184300,5268.123820956955,175.60412736523182,101615,4884570,732685500,7210.406928111007,240.34689760370023,33624,1590043,318008600,9457.786105162979,315.25953683876594,14516,620739,139666275,9621.54002480022,320.71800082667403,103242,4171530,1251459000,12121.60748532574,404.05358284419134,534211,25972824,3400174725,6364.853447420588,212.16178158068627
2017-09-01,50301,2583246,64581150,1283.893958370609,42.796465279020296,68439,3708145,185407250,2709.0876546998056,90.30292182332686,101472,5293494,397012050,3912.5280865657523,130.41760288552507,57635,3080656,308065600,5345.113212457708,178.17044041525693,99900,4853170,727975500,7287.042042042042,242.90140140140142,33153,1582480,316496000,9546.526709498386,318.21755698327956,13821,593629,133566525,9664.027566746256,322.1342522248752,101481,4124990,1237497000,12194.371360156088,406.4790453385363,526202,25819810,3370601075,6405.526917419546,213.51756391398487
2017-10-01,52481,2696079,67401975,1284.31194146453,42.81039804881767,71518,3866844,193342200,2703.406135518331,90.11353785061104,104243,5402814,405211050,3887.177556286753,129.57258520955844,60250,3195302,319530200,5303.405809128631,176.780193637621,103434,5017408,752611200,7276.245721909623,242.5415240636541,34745,1638606,327721200,9432.183047920564,314.4061015973521,14280,611682,137628450,9637.846638655463,321.26155462184875,104683,4221254,1266376200,12097.24788169999,403.2415960566663,545634,26649989,3469822475,6359.249011241968,211.97496704139894
2017-11-01,53540,2754111,68852775,1286.006257004109,42.8668752334703,72571,3935798,196789900,2711.687864298411,90.3895954766137,103911,5386025,403951875,3887.4794295117936,129.5826476503931,61029,3263942,326394200,5348.182011830441,178.27273372768138,104188,5060080,759012000,7285.02322724306,242.83410757476867,34964,1644917,328983400,9409.203752431073,313.64012508103576,14282,613031,137931975,9657.74926480885,321.9249754936283,104940,4233104,1269931200,12101.49799885649,403.3832666285497,549425,26891008,3491847325,6355.457660281203,211.8485886760401
2017-12-01,52464,2730280,68257000,1301.0254650808174,43.36751550269391,71963,3910344,195517200,2716.9128579964704,90.56376193321567,104024,5436356,407726700,3919.5445281858033,130.6514842728601,62117,3347172,334717200,5388.495902892928,179.61653009643092,104269,5066489,759973350,7288.583855220631,242.95279517402105,35288,1684263,336852600,9545.811607345273,318.19372024484244,14261,612740,137866500,9667.379566650305,322.2459855550102,106057,4295252,1288575600,12149.840180280415,404.9946726760138,550443,27082896,3529486150,6412.08290413358,213.73609680445267
2018-01-01,54314,2810447,70261175,1293.6107633391023,43.120358777970075,74477,4034601,201730050,2708.6221249513274,90.28740416504425,106168,5520625,414046875,3899.9215865420842,129.99738621806947,63436,3417490,341749000,5387.303739201715,179.57679130672383,106426,5164136,774620400,7278.488339315581,242.61627797718603,36052,1708744,341748800,9479.329856873404,315.97766189578016,14468,619162,139311450,9628.936273154548,320.96454243848495,107990,4330428,1299128400,12030.080563015094,401.00268543383646,563331,27605633,3582596150,6359.6644779002045,211.9888159300068
2018-02-01,48915,2530401,63260025,1293.264336093223,43.10881120310743,67406,3662550,183127500,2716.783372400083,90.55944574666943,96146,4981919,373643925,3886.2139350571006,129.54046450190336,57958,3106435,310643500,5359.803650919632,178.66012169732105,96199,4674856,701228400,7289.3522801692325,242.97840933897442,33128,1556420,311284000,9396.401835305482,313.2133945101827,12895,552961,124416225,9648.408297789842,321.613609926328,98289,3932433,1179729900,12002.664591154657,400.08881970515523,510936,24997975,3247333475,6355.656041069723,211.85520136899078
